employee_id,department,job_level,employment_type,work_mode,age,tenure_years,annual_salary_usd,workload_score,overtime_hours_month,manager_support_score,promotion_wait_years,promotion_count,training_hours_year,satisfaction_score,engagement_score,performance_score,absenteeism_days_year,attrition
EMP-01099,Operations,Entry,Full-time,Remote,23,2.3,47400,7.8,8.8,10.0,0.1,1,17.3,7.6,7.5,8.0,3.9,0
EMP-01100,Engineering,Mid,Full-time,Hybrid,33,4.3,73700,8.3,13.2,7.4,0.4,1,34.8,5.4,6.1,6.5,7.2,0
EMP-01101,Customer Success,Mid,Full-time,On-site,36,2.7,69100,4.9,4.3,6.4,0.1,0,18.6,6.4,7.9,5.5,5.0,1
EMP-01102,Operations,Mid,Full-time,On-site,33,2.0,68500,4.8,0.8,8.7,1.5,0,32.0,6.1,6.5,8.3,7.2,0
EMP-01103,Sales,Mid,Full-time,Hybrid,38,5.3,58800,5.6,1.9,5.1,4.3,1,15.1,6.6,5.2,5.1,6.9,0
EMP-01104,Operations,Mid,Full-time,On-site,38,5.6,54200,5.6,8.4,7.5,2.5,2,13.1,7.1,7.3,9.0,3.9,0
EMP-01105,Operations,Entry,Full-time,Hybrid,33,0.3,40600,8.3,15.1,7.3,0.1,0,24.9,6.8,6.4,5.9,9.9,0
EMP-01106,Marketing,Mid,Full-time,Remote,32,3.2,61000,6.3,15.1,8.1,0.1,1,15.3,6.5,8.4,8.5,9.6,0
EMP-01107,Sales,Senior,Full-time,On-site,30,4.7,79000,6.0,12.8,8.2,0.1,1,8.7,5.8,7.5,5.0,6.2,0
EMP-01108,Engineering,Mid,Full-time,Hybrid,42,5.1,73400,3.6,4.8,5.8,4.2,1,15.3,6.8,6.6,6.3,7.3,0
EMP-01109,Finance,Mid,Full-time,On-site,35,3.9,56500,7.4,15.2,4.3,0.1,1,32.9,6.5,5.4,5.7,1.1,1
EMP-01110,Engineering,Mid,Full-time,Remote,32,6.7,78100,6.6,6.6,8.5,4.5,1,36.8,6.2,4.7,9.0,5.4,0
EMP-01111,Operations,Senior,Full-time,Hybrid,36,7.4,92900,6.2,7.0,4.2,5.8,2,43.7,5.0,2.9,5.7,2.2,1
EMP-01112,Operations,Entry,Full-time,Hybrid,22,1.3,36000,6.3,12.6,8.7,0.1,1,23.2,7.4,6.4,7.2,1.2,0
EMP-01113,Customer Success,Senior,Full-time,On-site,38,9.1,99900,5.1,7.2,8.0,6.2,2,42.4,6.1,6.8,8.1,0.0,1
EMP-01114,Marketing,Mid,Full-time,Remote,32,5.8,75900,5.8,6.3,7.4,4.7,1,14.0,7.0,7.6,7.3,4.7,0
EMP-01115,Marketing,Entry,Full-time,On-site,21,1.0,48000,7.3,8.9,7.1,0.1,1,38.5,6.4,8.4,6.7,5.5,0
EMP-01116,Sales,Mid,Full-time,Hybrid,37,8.0,66400,7.7,8.6,5.9,3.9,2,35.6,6.4,7.0,7.5,7.7,0
EMP-01117,Engineering,Mid,Part-time,Remote,42,5.2,86100,5.5,0.0,7.0,3.6,1,6.4,7.9,7.2,6.6,5.6,0
EMP-01118,Customer Success,Manager,Full-time,Hybrid,54,12.2,123600,7.8,15.9,7.3,9.0,3,20.8,4.4,6.0,6.3,7.7,0
EMP-01119,Customer Success,Senior,Full-time,Hybrid,39,6.8,105000,8.3,15.2,6.5,3.3,1,33.4,4.5,6.3,6.2,6.8,0
EMP-01120,Marketing,Senior,Full-time,On-site,34,7.1,96300,7.4,12.7,7.0,3.8,2,27.8,6.2,7.1,6.7,3.8,0
EMP-01121,Marketing,Manager,Full-time,Remote,33,5.7,92300,6.1,16.1,3.9,3.8,2,16.1,5.9,9.2,8.0,7.4,0
EMP-01122,Engineering,Mid,Full-time,Hybrid,30,3.1,60000,9.2,16.9,2.8,0.4,1,28.9,4.2,3.3,7.3,8.6,1
EMP-01123,HR,Entry,Full-time,On-site,21,0.8,51400,8.0,14.0,9.9,0.1,1,28.4,6.2,6.0,6.7,5.2,0
EMP-01124,Engineering,Entry,Full-time,On-site,21,2.2,54500,9.0,21.0,7.8,2.0,0,23.5,4.3,4.8,6.6,9.7,1
EMP-01125,Sales,Senior,Full-time,On-site,47,6.9,82700,4.8,0.0,8.4,2.2,2,19.3,7.1,8.5,8.8,6.3,0
EMP-01126,Engineering,Mid,Full-time,Hybrid,39,4.8,86300,6.3,11.0,5.7,2.3,1,0.0,6.6,8.4,7.6,6.8,0
EMP-01127,Customer Success,Senior,Full-time,Hybrid,37,7.4,78200,6.0,10.0,5.5,3.4,2,20.7,6.0,6.3,6.5,0.6,0
EMP-01128,HR,Mid,Full-time,Hybrid,32,3.5,77800,3.1,0.0,8.4,1.6,2,31.1,8.3,7.8,7.3,8.8,0
EMP-01129,Marketing,Entry,Full-time,Hybrid,28,2.2,37500,7.6,5.2,8.4,0.1,0,25.0,6.7,5.9,9.5,13.2,0
EMP-01130,Customer Success,Mid,Full-time,On-site,28,1.5,58000,7.8,16.1,6.9,0.1,0,21.3,5.9,7.4,8.1,8.7,0
EMP-01131,Operations,Entry,Full-time,Hybrid,21,0.2,35200,5.6,22.6,10.0,0.1,0,50.3,7.6,6.1,5.3,4.3,0
EMP-01132,HR,Entry,Full-time,Hybrid,28,3.1,47800,4.2,0.4,5.5,0.5,1,22.3,6.8,6.8,5.6,9.2,0
EMP-01133,Finance,Mid,Full-time,Hybrid,31,5.7,81500,7.2,4.3,6.7,1.6,1,28.2,5.9,6.2,7.2,8.9,0
EMP-01134,Operations,Manager,Full-time,Hybrid,40,7.3,106100,7.8,21.6,7.0,1.2,2,15.4,5.9,5.6,5.8,9.2,1
EMP-01135,HR,Manager,Full-time,Hybrid,26,4.4,106900,7.8,14.1,7.3,0.9,1,23.5,7.0,8.4,9.4,7.3,0
EMP-01136,Engineering,Senior,Full-time,On-site,31,5.0,99700,7.7,10.5,8.3,0.1,1,42.0,7.1,6.6,7.5,8.5,0
EMP-01137,Finance,Senior,Full-time,Remote,37,6.6,93500,7.3,10.6,8.8,5.4,1,11.8,6.3,7.3,8.0,6.7,0
EMP-01138,Marketing,Mid,Full-time,Remote,32,4.3,77100,6.0,7.2,6.6,2.4,1,32.7,5.7,4.1,5.3,9.4,0
EMP-01139,Finance,Senior,Full-time,Hybrid,29,4.2,93800,6.5,11.9,6.4,1.1,2,41.4,6.2,6.9,8.4,6.9,1
EMP-01140,Sales,Mid,Full-time,On-site,28,1.1,62000,7.3,10.6,7.3,0.1,0,16.5,6.4,7.5,7.2,0.0,0
EMP-01141,Sales,Senior,Full-time,Remote,34,6.1,79200,6.0,16.0,8.0,4.7,1,32.4,4.8,5.0,7.7,12.8,0
EMP-01142,Operations,Senior,Full-time,Hybrid,34,5.6,82600,4.7,0.0,6.8,1.9,2,19.8,6.5,7.0,6.0,4.9,0
EMP-01143,Operations,Senior,Part-time,Hybrid,49,9.1,93200,7.0,17.2,7.1,5.3,2,41.5,6.8,5.6,8.6,8.4,0
EMP-01144,Engineering,Mid,Full-time,On-site,30,4.5,86800,9.6,21.0,8.5,2.9,1,17.4,6.6,5.8,8.3,8.8,0
EMP-01145,Operations,Mid,Full-time,Hybrid,31,3.4,57000,5.6,14.8,6.1,0.7,1,29.6,5.0,6.4,4.9,7.0,1
EMP-01146,Marketing,Senior,Full-time,Hybrid,33,5.8,93000,6.0,13.4,4.8,2.0,1,21.2,6.4,5.8,4.8,9.6,0
EMP-01147,Customer Success,Manager,Full-time,On-site,42,9.4,122800,6.5,7.8,6.1,4.2,2,13.4,8.3,6.7,7.2,3.4,0
EMP-01148,Customer Success,Senior,Full-time,Hybrid,31,8.2,93100,6.8,16.0,6.6,5.4,3,30.5,5.7,6.0,7.1,7.8,1
EMP-01149,Sales,Mid,Full-time,Hybrid,35,3.1,47500,5.0,0.0,6.4,0.1,0,14.4,7.7,7.3,7.0,0.9,0
EMP-01150,Marketing,Entry,Full-time,Hybrid,23,0.4,38800,6.2,2.4,10.0,0.1,0,30.3,7.6,8.3,6.6,7.2,0
EMP-01151,Customer Success,Mid,Full-time,Remote,38,4.9,54500,10.0,20.9,4.1,2.9,2,5.4,3.2,4.4,6.3,7.2,1
EMP-01152,Marketing,Entry,Full-time,On-site,24,0.5,43900,5.9,4.8,7.6,0.1,0,46.4,7.7,6.9,6.8,3.3,0
EMP-01153,Marketing,Senior,Full-time,Hybrid,25,2.5,92100,6.5,5.0,10.0,1.7,0,9.6,7.6,7.7,8.2,17.7,0
EMP-01154,HR,Manager,Full-time,On-site,41,8.7,106400,6.7,10.6,7.6,5.2,2,10.3,4.2,7.1,9.4,7.7,1
EMP-01155,Marketing,Mid,Part-time,On-site,21,1.8,62500,7.9,18.4,7.0,0.2,0,25.9,4.7,5.4,7.2,5.0,1
EMP-01156,Engineering,Mid,Full-time,Hybrid,30,5.7,84500,9.2,17.2,6.0,4.5,2,17.4,5.0,8.2,7.0,6.1,0
EMP-01157,Sales,Entry,Full-time,Hybrid,35,3.8,51800,8.2,8.8,6.8,0.8,1,40.1,7.3,5.9,6.4,3.1,0
EMP-01158,Finance,Entry,Full-time,Hybrid,37,5.2,38200,5.5,10.1,6.6,3.3,1,25.8,6.3,5.0,8.4,5.1,1
EMP-01159,Engineering,Senior,Full-time,On-site,35,6.5,89800,8.1,11.6,6.0,2.7,2,39.5,4.3,4.2,6.4,7.8,0
EMP-01160,Customer Success,Senior,Full-time,Hybrid,34,3.5,71000,8.6,9.3,6.8,3.7,1,13.4,5.9,7.0,6.3,11.5,0
EMP-01161,Sales,Senior,Full-time,Hybrid,27,4.2,107900,7.6,9.6,8.1,1.3,2,24.3,4.7,6.2,8.6,10.2,0
EMP-01162,Engineering,Entry,Full-time,On-site,23,0.2,73300,7.2,11.2,7.5,0.1,0,45.9,5.1,6.7,5.1,12.3,0
EMP-01163,Engineering,Entry,Full-time,Hybrid,33,5.4,59400,5.6,3.4,7.8,1.6,1,25.1,8.3,8.8,7.7,6.1,0
EMP-01164,Engineering,Senior,Full-time,Hybrid,46,8.8,93100,5.2,8.3,5.7,5.3,2,30.8,6.3,6.8,8.7,7.3,0
EMP-01165,Engineering,Senior,Full-time,Hybrid,45,8.6,93900,5.7,9.7,8.3,5.9,2,28.6,6.9,7.7,9.9,6.6,0
EMP-01166,HR,Mid,Full-time,On-site,23,3.3,74700,7.6,7.7,5.6,0.1,0,24.9,4.9,6.4,7.2,9.6,1
EMP-01167,Sales,Mid,Full-time,Hybrid,24,3.9,77500,8.3,20.3,7.1,0.2,1,11.1,6.4,6.5,6.4,0.0,0
EMP-01168,HR,Mid,Full-time,Remote,24,3.6,41900,5.6,9.8,6.4,0.1,1,26.5,7.6,7.5,5.6,0.7,0
EMP-01169,Engineering,Entry,Full-time,Remote,31,0.2,69200,5.3,4.6,9.9,0.1,1,31.6,6.1,7.7,7.5,7.2,0
EMP-01170,Finance,Mid,Full-time,Remote,32,4.9,69200,4.8,3.6,5.3,0.9,1,35.3,7.5,6.5,7.2,8.4,0
EMP-01171,Customer Success,Mid,Full-time,On-site,30,2.4,74800,4.6,11.6,8.6,0.1,0,37.8,6.1,5.8,7.3,6.8,0
EMP-01172,Finance,Entry,Full-time,Hybrid,24,0.4,46200,4.3,9.8,5.6,0.1,0,21.5,6.8,6.0,5.5,4.8,0
EMP-01173,Operations,Entry,Part-time,On-site,30,3.1,31300,5.8,0.0,9.0,1.4,0,25.3,8.2,7.4,6.5,12.5,0
EMP-01174,Customer Success,Mid,Full-time,Hybrid,35,5.7,56400,8.1,12.4,6.3,1.8,1,2.1,5.7,5.3,7.2,7.8,0
EMP-01175,Marketing,Entry,Full-time,Hybrid,38,3.6,44000,7.1,14.6,5.9,0.1,1,27.5,6.3,4.4,5.2,11.2,0
EMP-01176,Engineering,Mid,Full-time,On-site,37,3.3,68600,3.6,0.0,8.5,0.2,0,15.8,7.3,7.2,9.8,2.8,0
EMP-01177,Operations,Entry,Full-time,Hybrid,23,0.2,41800,5.8,4.9,9.5,0.1,0,17.4,7.0,6.0,6.2,5.9,0
EMP-01178,Customer Success,Mid,Full-time,Hybrid,44,5.6,52600,4.4,7.2,9.9,4.7,2,15.3,5.7,7.3,6.7,5.0,0
EMP-01179,Engineering,Entry,Part-time,Hybrid,25,0.6,58200,6.4,15.1,6.6,0.1,0,35.3,5.9,5.8,7.0,5.8,0
EMP-01180,Sales,Entry,Full-time,Hybrid,33,0.2,49800,4.6,9.5,3.1,0.1,0,45.0,5.3,4.8,5.6,6.4,1
EMP-01181,Engineering,Manager,Full-time,Hybrid,30,6.2,128900,6.6,18.3,7.0,0.9,1,23.2,4.6,5.0,8.0,4.3,0
EMP-01182,Operations,Entry,Full-time,On-site,26,2.3,32000,5.7,8.1,5.6,0.1,0,20.9,6.0,6.3,4.6,5.7,0
EMP-01183,Customer Success,Manager,Full-time,Hybrid,36,6.3,101000,5.3,6.9,8.0,2.9,1,21.0,8.3,8.9,8.6,0.0,0
EMP-01184,Customer Success,Mid,Full-time,On-site,35,6.6,66700,9.2,10.7,6.8,2.7,1,12.1,7.3,6.4,7.6,2.4,0
EMP-01185,Finance,Mid,Full-time,Hybrid,30,4.7,68900,4.9,6.8,6.2,2.1,2,21.9,7.4,8.4,6.9,6.8,0
EMP-01186,Sales,Senior,Full-time,On-site,36,6.9,89900,4.9,7.3,5.2,4.7,1,21.2,5.9,5.3,8.7,10.1,1
EMP-01187,HR,Mid,Full-time,Hybrid,24,0.3,64800,3.2,0.0,7.6,0.1,0,9.9,8.1,8.3,5.1,6.2,0
EMP-01188,Operations,Mid,Full-time,Remote,36,5.6,68700,8.0,4.2,6.3,0.3,2,33.5,7.2,5.8,5.1,7.2,0
EMP-01189,Marketing,Entry,Full-time,On-site,39,5.4,58100,4.3,0.0,7.3,3.5,1,13.0,7.2,8.0,7.1,1.0,0
EMP-01190,Engineering,Manager,Full-time,Hybrid,47,11.1,113800,4.8,3.4,7.8,8.4,3,24.4,8.1,6.9,9.1,0.5,0
EMP-01191,Sales,Entry,Full-time,On-site,26,0.2,51800,5.4,10.7,6.6,0.1,0,33.6,6.9,8.0,5.2,3.3,0
EMP-01192,Sales,Manager,Full-time,On-site,43,10.9,118300,5.3,9.5,6.5,8.4,4,23.4,5.4,4.8,8.2,1.8,1
EMP-01193,Marketing,Mid,Full-time,Hybrid,24,1.9,50900,4.3,8.2,8.6,0.1,1,24.3,7.8,8.8,7.4,6.8,0
EMP-01194,Engineering,Senior,Full-time,On-site,42,6.6,94800,6.5,2.2,7.9,2.6,2,28.8,8.6,6.9,7.9,5.1,0
EMP-01195,Engineering,Senior,Full-time,On-site,45,8.9,78800,8.3,6.2,9.2,8.6,3,19.4,6.5,7.1,7.1,7.2,0
EMP-01196,Operations,Senior,Full-time,Hybrid,39,8.9,97500,7.5,11.6,7.2,7.0,3,40.5,5.8,5.4,6.7,0.5,1
EMP-01197,Customer Success,Senior,Full-time,Hybrid,38,8.7,94600,7.4,16.6,3.3,6.8,2,32.8,4.2,4.8,7.0,8.9,1
EMP-01198,Sales,Entry,Full-time,On-site,28,1.8,52500,4.6,8.5,6.0,0.1,1,29.5,6.4,6.1,5.6,3.8,0
EMP-01199,Engineering,Mid,Full-time,On-site,32,6.7,71700,7.3,4.7,5.2,2.7,1,27.1,6.4,5.1,5.0,0.0,0
EMP-01200,Engineering,Entry,Full-time,Hybrid,24,1.5,35300,9.8,19.1,6.9,0.3,0,14.9,4.4,6.1,6.6,10.6,1
EMP-01201,Customer Success,Entry,Full-time,Remote,21,0.2,52400,6.1,14.6,6.8,0.1,1,24.3,6.4,5.3,7.0,7.3,0
EMP-01202,Customer Success,Mid,Full-time,Hybrid,41,3.3,79300,5.4,14.2,8.1,0.5,0,20.8,7.3,7.0,7.4,1.5,0
EMP-01203,HR,Mid,Full-time,On-site,21,0.2,71900,7.7,17.7,7.4,0.1,0,35.6,3.4,4.8,4.8,7.2,1
EMP-01204,Marketing,Manager,Full-time,Remote,39,5.6,100200,6.4,0.0,7.0,5.1,1,20.8,5.7,5.6,8.5,6.2,0
EMP-01205,Sales,Entry,Full-time,Remote,27,1.5,58200,5.7,5.4,8.6,0.1,0,30.9,8.6,7.8,8.4,3.4,0
EMP-01206,Marketing,Entry,Full-time,Hybrid,27,3.4,44000,5.8,0.0,5.3,1.4,0,27.1,7.1,6.3,5.2,1.6,0
EMP-01207,Engineering,Senior,Full-time,On-site,32,7.7,99900,8.3,14.0,8.1,5.2,2,38.6,4.0,4.4,5.5,8.9,1
EMP-01208,Operations,Mid,Full-time,On-site,49,9.6,70300,5.8,11.0,6.8,9.3,2,21.4,6.2,4.7,7.4,6.2,1
EMP-01209,Sales,Entry,Full-time,On-site,28,1.7,56500,6.7,14.8,6.2,0.6,0,39.6,5.9,5.7,7.3,6.7,0
EMP-01210,Marketing,Entry,Full-time,Hybrid,27,5.0,45000,7.3,7.4,7.0,1.5,1,31.3,7.2,5.8,8.4,0.0,0
EMP-01211,HR,Manager,Full-time,On-site,40,4.0,105400,7.7,10.8,6.7,3.5,1,20.1,6.5,5.4,6.1,6.6,0
EMP-01212,HR,Entry,Full-time,On-site,28,4.6,56300,9.2,12.0,7.2,3.3,1,19.0,6.2,6.6,10.0,8.9,1
EMP-01213,Finance,Mid,Full-time,Hybrid,31,1.8,68400,4.7,3.5,5.1,0.1,0,13.9,6.1,6.1,8.6,8.0,0
EMP-01214,Engineering,Senior,Full-time,On-site,42,8.2,93200,6.7,3.6,7.4,1.9,2,26.6,7.8,7.3,7.8,5.7,0
EMP-01215,Engineering,Manager,Full-time,On-site,38,8.3,115800,6.6,3.9,6.6,4.7,2,25.6,7.1,7.3,6.3,8.7,0
EMP-01216,Sales,Manager,Part-time,Hybrid,44,10.4,115400,6.6,1.6,7.3,5.6,2,12.6,5.8,5.6,8.9,11.2,1
EMP-01217,Engineering,Entry,Full-time,On-site,33,1.3,60300,8.5,19.2,6.7,0.1,1,60.1,4.9,5.7,5.7,2.3,0
EMP-01218,Sales,Entry,Full-time,Remote,38,3.3,60800,9.7,17.7,5.6,0.1,1,19.4,5.0,4.1,7.9,4.3,1
EMP-01219,Operations,Senior,Part-time,Hybrid,32,4.5,96600,4.5,10.9,5.3,0.1,1,18.8,7.5,7.4,7.8,4.8,0
EMP-01220,Sales,Senior,Full-time,Remote,40,8.3,90700,7.5,11.7,6.5,3.0,3,22.4,4.9,7.7,7.5,4.9,0
EMP-01221,Sales,Entry,Full-time,On-site,28,4.1,48100,6.5,6.9,6.3,0.4,2,30.4,6.4,5.3,4.5,1.4,0
EMP-01222,Operations,Entry,Full-time,Remote,39,4.0,32300,6.1,3.9,10.0,0.1,1,25.1,7.4,6.6,6.9,2.0,0
EMP-01223,Operations,Entry,Full-time,Hybrid,25,1.7,38500,9.1,22.6,5.6,0.1,0,36.7,4.7,5.5,7.3,11.9,0
EMP-01224,Sales,Mid,Full-time,On-site,34,3.1,88500,5.1,0.0,9.9,0.1,0,22.1,7.9,7.9,6.9,2.9,0
EMP-01225,Customer Success,Mid,Full-time,Remote,30,1.2,65700,9.3,12.7,7.4,0.1,0,17.9,6.5,5.0,5.6,10.0,0
EMP-01226,Finance,Senior,Full-time,Hybrid,49,8.9,76600,4.7,8.9,8.7,7.3,2,42.9,6.6,6.5,6.2,9.8,0
EMP-01227,Marketing,Mid,Full-time,Hybrid,31,5.7,69500,5.7,4.8,4.5,3.0,1,30.1,4.7,8.0,6.1,6.2,1
EMP-01228,Engineering,Mid,Full-time,Remote,33,2.1,73400,8.3,12.9,8.8,0.1,0,31.1,7.7,6.3,6.7,7.4,1
EMP-01229,Operations,Mid,Full-time,On-site,26,5.2,62200,5.0,5.0,8.2,2.4,1,28.6,8.3,8.8,7.6,8.8,0
EMP-01230,Engineering,Mid,Full-time,On-site,26,3.2,87200,5.6,3.6,7.9,0.6,0,3.1,7.8,5.8,6.0,3.2,0
EMP-01231,Finance,Mid,Full-time,Hybrid,30,3.5,54800,6.4,13.5,8.6,0.1,1,20.8,6.6,6.5,7.8,2.9,0
EMP-01232,HR,Mid,Full-time,On-site,30,3.9,75000,6.2,17.2,7.1,1.9,1,9.0,5.9,7.2,8.7,7.9,0
EMP-01233,Engineering,Manager,Full-time,On-site,42,8.4,124500,5.0,1.3,6.1,4.2,3,36.3,7.9,7.1,4.9,9.5,0
EMP-01234,Operations,Manager,Full-time,On-site,39,7.8,100900,5.8,7.3,6.1,3.1,3,31.5,9.3,6.3,7.2,0.5,0
EMP-01235,Customer Success,Mid,Full-time,Hybrid,39,5.8,61200,7.1,23.8,7.4,3.0,2,51.4,6.1,6.4,6.5,8.0,0
EMP-01236,Sales,Mid,Full-time,On-site,22,1.0,66000,7.6,10.1,4.4,0.7,0,17.8,5.3,5.2,7.4,7.8,0
EMP-01237,Customer Success,Senior,Part-time,On-site,40,9.2,84400,4.9,7.4,6.9,8.0,2,16.3,5.4,7.0,8.8,10.4,1
EMP-01238,Engineering,Entry,Full-time,On-site,21,0.5,60400,3.8,0.0,9.7,0.1,1,32.9,7.3,7.8,7.3,5.1,0
EMP-01239,Customer Success,Mid,Full-time,Hybrid,40,1.9,67700,8.1,21.4,6.4,0.1,0,0.0,6.5,6.7,7.5,10.2,0
EMP-01240,Finance,Senior,Full-time,On-site,33,9.5,80000,5.5,0.0,5.1,5.9,2,20.0,5.3,7.0,7.5,4.5,0
EMP-01241,Operations,Mid,Full-time,Hybrid,38,4.7,59500,6.1,9.6,8.1,4.0,1,9.5,7.7,6.1,8.5,0.8,0
EMP-01242,Operations,Mid,Full-time,On-site,25,5.2,56600,6.4,12.6,8.3,2.9,1,30.5,5.3,6.8,8.5,6.5,0
EMP-01243,Operations,Mid,Full-time,Hybrid,36,6.1,59800,7.2,9.3,6.0,3.0,2,5.4,7.3,5.3,8.3,6.2,0
EMP-01244,Customer Success,Mid,Part-time,Remote,45,6.8,70900,8.2,15.0,6.5,4.0,2,31.0,6.3,6.5,9.9,1.5,0
EMP-01245,HR,Entry,Full-time,On-site,34,3.5,52500,6.6,0.0,4.7,0.8,1,23.3,4.3,5.9,5.2,5.1,0
EMP-01246,Operations,Mid,Part-time,Hybrid,32,2.5,57700,6.6,14.5,8.1,0.1,0,40.2,7.5,7.5,9.1,7.2,0
EMP-01247,Customer Success,Mid,Part-time,Hybrid,37,4.3,61500,8.5,18.0,6.5,1.1,1,37.8,4.4,2.5,6.7,11.1,1
EMP-01248,Engineering,Senior,Full-time,Hybrid,28,5.5,88500,7.6,10.7,6.4,2.9,2,35.0,5.4,4.3,6.2,7.9,1
EMP-01249,Sales,Entry,Full-time,Hybrid,21,2.0,36400,7.2,0.0,9.2,0.1,0,31.3,9.0,8.4,8.5,0.0,0
EMP-01250,Operations,Senior,Full-time,Hybrid,46,7.6,83000,8.7,4.6,3.3,5.4,2,41.4,2.9,4.8,7.0,10.0,0
EMP-01251,Finance,Entry,Full-time,Hybrid,27,0.6,39500,4.5,0.0,6.4,0.1,0,36.7,7.5,7.6,5.6,3.8,0
EMP-01252,Engineering,Entry,Full-time,Remote,23,1.0,54400,4.6,1.2,5.8,0.2,0,17.6,7.4,6.1,7.1,2.5,0
EMP-01253,Operations,Mid,Full-time,On-site,46,4.4,69400,8.1,13.2,5.7,1.4,1,23.7,4.8,5.1,4.9,5.3,1
EMP-01254,Marketing,Mid,Full-time,Hybrid,34,5.5,59800,7.3,26.8,6.2,2.5,2,24.5,5.7,5.6,7.9,5.5,0
EMP-01255,Engineering,Mid,Part-time,Hybrid,36,3.8,87700,5.6,1.6,8.8,0.1,1,25.8,7.8,6.3,4.6,1.5,0
EMP-01256,Operations,Entry,Full-time,On-site,21,1.4,38900,8.0,24.6,6.2,0.1,0,34.5,6.8,6.7,6.1,9.9,0
EMP-01257,Customer Success,Mid,Full-time,On-site,33,3.1,66500,5.3,9.5,6.4,1.3,0,25.6,6.2,5.5,7.2,4.0,0
EMP-01258,Sales,Senior,Full-time,On-site,29,3.4,104000,4.5,5.6,8.0,0.1,0,13.7,6.6,7.5,7.8,5.5,0
EMP-01259,Customer Success,Entry,Part-time,Remote,27,2.3,59000,7.3,15.9,8.1,0.1,0,33.2,5.1,7.1,8.2,6.3,0
EMP-01260,Finance,Entry,Full-time,Hybrid,23,2.4,45800,3.6,5.2,8.7,1.3,0,29.4,7.3,7.5,7.1,3.4,0
EMP-01261,HR,Mid,Full-time,On-site,37,6.6,62700,6.6,8.1,9.2,4.2,1,5.0,7.4,6.8,5.4,7.6,0
EMP-01262,Marketing,Entry,Full-time,Hybrid,25,0.2,43800,3.9,0.0,7.2,0.1,1,37.7,8.9,9.0,6.0,2.4,0
EMP-01263,Sales,Senior,Full-time,On-site,36,5.3,109700,9.3,13.9,8.6,3.6,2,31.3,4.5,4.6,6.8,12.3,1
EMP-01264,Customer Success,Mid,Full-time,On-site,35,5.9,60600,7.2,13.4,7.5,0.7,2,23.2,8.9,8.3,6.7,13.3,0
EMP-01265,Engineering,Mid,Full-time,Hybrid,30,3.2,85500,5.2,0.0,6.5,0.9,0,28.1,9.8,8.5,6.5,7.0,0
EMP-01266,Sales,Mid,Full-time,On-site,36,3.4,63100,3.9,0.0,9.0,0.4,1,18.8,8.5,6.8,7.7,1.5,0
EMP-01267,Operations,Mid,Full-time,On-site,36,4.0,59800,5.1,15.6,5.5,0.3,1,10.0,4.8,5.5,9.7,4.6,0
EMP-01268,Customer Success,Mid,Full-time,On-site,33,1.5,58800,7.5,15.0,7.1,0.1,0,21.1,6.9,5.9,5.3,3.5,0
EMP-01269,Operations,Entry,Full-time,On-site,21,0.2,34900,5.1,1.2,4.8,0.1,0,16.3,6.6,7.7,7.8,8.5,0
EMP-01270,Sales,Mid,Full-time,Hybrid,31,4.0,54500,5.2,3.4,7.7,1.6,1,0.0,7.5,5.5,6.5,6.3,0
EMP-01271,Finance,Senior,Part-time,Remote,37,6.4,106000,6.6,8.3,6.7,2.1,1,23.2,5.8,7.5,9.3,11.2,0
EMP-01272,Engineering,Entry,Full-time,On-site,27,3.2,50900,8.1,14.7,9.2,1.4,0,25.5,6.1,7.3,6.7,9.2,0
EMP-01273,Engineering,Entry,Full-time,Hybrid,22,0.2,68100,4.7,3.6,6.3,0.1,0,30.4,8.9,7.6,6.5,12.9,0
EMP-01274,Customer Success,Entry,Full-time,Hybrid,31,2.6,38700,8.5,12.7,5.5,0.1,1,13.0,5.3,3.7,5.3,7.9,1
EMP-01275,HR,Entry,Full-time,Hybrid,22,0.2,44900,3.1,0.0,6.2,0.1,0,32.4,7.8,6.2,7.1,9.1,0
EMP-01276,Marketing,Entry,Full-time,Hybrid,21,0.2,36100,7.6,5.6,6.2,0.1,0,55.5,5.0,6.0,4.3,4.5,0
EMP-01277,Sales,Mid,Full-time,Hybrid,34,6.1,66800,6.4,6.4,4.6,3.0,1,11.3,6.5,6.5,7.4,8.7,0
EMP-01278,Sales,Mid,Full-time,Hybrid,47,6.9,77000,4.3,0.0,7.7,5.8,1,10.7,4.9,7.3,5.9,0.0,0
EMP-01279,Engineering,Entry,Full-time,Remote,24,2.4,62200,3.9,4.8,6.0,0.1,1,29.0,6.5,5.5,5.0,5.0,0
EMP-01280,Marketing,Senior,Full-time,On-site,37,4.5,90800,5.9,7.3,6.9,0.9,1,15.1,6.9,7.2,6.4,8.9,0
EMP-01281,HR,Mid,Full-time,On-site,29,2.1,68800,5.7,6.8,7.0,0.1,0,32.0,4.6,4.9,7.6,4.7,0
EMP-01282,Marketing,Mid,Full-time,On-site,30,3.6,54300,4.3,0.0,6.0,1.5,2,11.4,6.1,4.5,5.8,8.4,0
EMP-01283,Operations,Mid,Full-time,Remote,33,5.3,60900,7.4,22.5,6.6,3.0,1,0.0,3.7,4.1,8.2,12.6,1
EMP-01284,Sales,Mid,Full-time,On-site,40,4.5,71500,4.1,5.3,7.1,0.1,1,34.9,6.0,6.9,6.2,7.9,0
